2024-03-26 06:26:50 | INFO     | BSRNN | Utt=20 | fname=sixteen_p232_023.wav | PESQ=1.994 | PESQi=0.686 | SISNR=13.551 | SISNRi=11.562 | CSIG=3.280 | CSIGi=0.671 |CBAK=2.842 | CBAKi=0.945 | COVL=2.630 | COVLi=0.718 | 
2024-03-26 06:26:53 | INFO     | BSRNN | Utt=21 | fname=sixteen_p232_024.wav | PESQ=4.089 | PESQi=0.283 | SISNR=17.738 | SISNRi=0.933 | CSIG=5.000 | CSIGi=0.000 |CBAK=4.260 | CBAKi=0.058 | COVL=4.664 | COVLi=0.100 | 
2024-03-26 06:26:55 | INFO     | BSRNN | Utt=22 | fname=sixteen_p232_025.wav | PESQ=3.315 | PESQi=0.391 | SISNR=18.870 | SISNRi=8.233 | CSIG=4.481 | CSIGi=0.182 |CBAK=3.652 | CBAKi=0.684 | COVL=3.886 | COVLi=0.288 | 
2024-03-26 06:26:57 | INFO     | BSRNN | Utt=23 | fname=sixteen_p232_027.wav | PESQ=3.699 | PESQi=0.794 | SISNR=11.583 | SISNRi=4.875 | CSIG=4.783 | CSIGi=0.473 |CBAK=3.674 | CBAKi=0.608 | COVL=4.256 | COVLi=0.636 | 
2024-03-26 06:27:00 | INFO     | BSRNN | Utt=24 | fname=sixteen_p232_028.wav | PESQ=1.788 | PESQi=0.341 | SISNR=17.291 | SISNRi=17.090 | CSIG=2.225 | CSIGi=-0.447 |CBAK=2.646 | CBAKi=1.019 | COVL=1.967 | COVLi=-0.003 | 
2024-03-26 06:27:02 | INFO     | BSRNN | Utt=25 | fname=sixteen_p232_029.wav | PESQ=2.691 | PESQi=0.920 | SISNR=18.714 | SISNRi=2.195 | CSIG=3.914 | CSIGi=0.807 |CBAK=3.359 | CBAKi=0.683 | COVL=3.292 | COVLi=0.880 | 
2024-03-26 06:27:04 | INFO     | BSRNN | Utt=26 | fname=sixteen_p232_030.wav | PESQ=3.089 | PESQi=1.121 | SISNR=17.292 | SISNRi=5.574 | CSIG=4.338 | CSIGi=0.716 |CBAK=3.557 | CBAKi=0.728 | COVL=3.714 | COVLi=0.924 | 
2024-03-26 06:27:06 | INFO     | BSRNN | Utt=27 | fname=sixteen_p232_031.wav | PESQ=2.376 | PESQi=0.825 | SISNR=11.037 | SISNRi=5.478 | CSIG=3.607 | CSIGi=0.849 |CBAK=2.665 | CBAKi=0.647 | COVL=2.940 | COVLi=0.834 | 
2024-03-26 06:27:08 | INFO     | BSRNN | Utt=28 | fname=sixteen_p232_032.wav | PESQ=1.377 | PESQi=0.266 | SISNR=7.341 | SISNRi=5.797 | CSIG=2.283 | CSIGi=0.421 |CBAK=2.184 | CBAKi=0.464 | COVL=1.788 | COVLi=0.364 | 
2024-03-26 06:27:10 | INFO     | BSRNN | Utt=29 | fname=sixteen_p232_033.wav | PESQ=2.806 | PESQi=0.341 | SISNR=19.187 | SISNRi=4.228 | CSIG=3.862 | CSIGi=0.365 |CBAK=3.166 | CBAKi=0.426 | COVL=3.282 | COVLi=0.342 | 
2024-03-26 06:27:11 | INFO     | BSRNN | Utt=30 | fname=sixteen_p232_034.wav | PESQ=2.533 | PESQi=1.097 | SISNR=15.580 | SISNRi=5.510 | CSIG=3.817 | CSIGi=0.990 |CBAK=3.144 | CBAKi=0.983 | COVL=3.152 | COVLi=1.058 | 
